Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,NA
-42,NA
-41,343.7
-40,344.0
-39,344.6
-38,345.4
-37,345.7
-36,346.6
-35,347.4
-34,349.4
-33,350.3
-32,352.0
-31,352.8
-30,354.2
-29,356.0
-28,357.7
-27,359.4
-26,361.9
-25,364.2
-24,366.5
-23,369.1
-22,372.8
-21,378.5
-20,377.9
-19,381.3
-18,380.5
-17,380.2
-16,381.0
-15,381.3
-14,381.6
-13,382.4
-12,382.4
-11,383.6
-10,383.9
-9,385.9
-8,386.4
-7,387.6
-6,389.6
-5,391.6
-4,391.0
-3,390.7
-2,389.9
-1,390.1
0,389.6
1,389.9
2,390.4
3,390.7
4,391.3
5,391.0
6,389.0
7,387.9
8,386.7
9,385.9
10,384.4
11,384.2
12,383.3
13,383.0
14,382.7
15,381.9
16,381.9
17,381.6
18,382.2
19,380.5
20,377.3
21,374.2
22,371.3
23,368.8
24,366.2
25,363.9
26,362.2
27,359.9
28,357.9
29,356.2
30,354.8
31,354.5
32,353.4
33,352.3
34,350.0
35,349.1
36,348.8
37,350.0
38,350.0
39,349.7
40,349.4
41,305.3
42,NA
43,NA
44,NA
45,NA
