Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,338.6
-42,339.8
-41,340.3
-40,343.4
-39,344.5
-38,345.9
-37,346.4
-36,348.4
-35,349.8
-34,351.5
-33,353.4
-32,354.8
-31,354.3
-30,356.8
-29,360.7
-28,365.7
-27,364.6
-26,367.9
-25,371.0
-24,371.5
-23,374.3
-22,379.9
-21,383.5
-20,386.9
-19,390.2
-18,394.4
-17,398.9
-16,402.8
-15,407.5
-14,407.8
-13,408.6
-12,406.9
-11,405.8
-10,409.7
-9,409.4
-8,406.9
-7,403.6
-6,403.0
-5,402.8
-4,405.5
-3,405.8
-2,403.6
-1,403.6
0,404.2
1,406.4
2,408.6
3,405.8
4,406.2
5,407.5
6,408.3
7,411.4
8,409.4
9,409.7
10,406.9
11,403.0
12,407.2
13,403.6
14,393.0
15,389.7
16,392.7
17,390.2
18,380.2
19,378.2
20,374.3
21,373.5
22,370.1
23,375.2
24,366.2
25,364.6
26,370.4
27,360.7
28,357.3
29,355.4
30,357.5
31,364.0
32,364.1
33,351.6
34,351.2
35,349.8
36,353.1
37,350.4
38,357.6
39,347.6
40,347.8
41,381.3
42,354.5
43,358.2
44,359.8
45,353.1
