year,venue_id,wall_theta,wall_distance,venue
2025,1,-45,329.9,Angel Stadium
2025,1,-44,339.1,Angel Stadium
2025,1,-43,345.6,Angel Stadium
2025,1,-42,350.8,Angel Stadium
2025,1,-41,354.7,Angel Stadium
2025,1,-40,357.6,Angel Stadium
2025,1,-39,360,Angel Stadium
2025,1,-38,361.7,Angel Stadium
2025,1,-37,362.8,Angel Stadium
2025,1,-36,364,Angel Stadium
2025,1,-35,365.2,Angel Stadium
2025,1,-34,366.6,Angel Stadium
2025,1,-33,368.1,Angel Stadium
2025,1,-32,369.7,Angel Stadium
2025,1,-31,371.5,Angel Stadium
2025,1,-30,373.4,Angel Stadium
2025,1,-29,375.4,Angel Stadium
2025,1,-28,377.5,Angel Stadium
2025,1,-27,379.8,Angel Stadium
2025,1,-26,382.3,Angel Stadium
2025,1,-25,384.8,Angel Stadium
2025,1,-24,387.6,Angel Stadium
2025,1,-23,389.3,Angel Stadium
2025,1,-22,388.4,Angel Stadium
2025,1,-21,387.6,Angel Stadium
2025,1,-20,387,Angel Stadium
2025,1,-19,386.4,Angel Stadium
2025,1,-18,386,Angel Stadium
2025,1,-17,385.6,Angel Stadium
2025,1,-16,385.4,Angel Stadium
2025,1,-15,385.3,Angel Stadium
2025,1,-14,385.4,Angel Stadium
2025,1,-13,385.5,Angel Stadium
2025,1,-12,385.8,Angel Stadium
2025,1,-11,386.2,Angel Stadium
2025,1,-10,386.7,Angel Stadium
2025,1,-9,387.3,Angel Stadium
2025,1,-8,388,Angel Stadium
2025,1,-7,388.9,Angel Stadium
2025,1,-6,389.9,Angel Stadium
2025,1,-5,391,Angel Stadium
2025,1,-4,392.2,Angel Stadium
2025,1,-3,393.6,Angel Stadium
2025,1,-2,395.1,Angel Stadium
2025,1,-1,396.7,Angel Stadium
2025,1,0,398.5,Angel Stadium
2025,1,1,400.4,Angel Stadium
2025,1,2,402.4,Angel Stadium
2025,1,3,402.5,Angel Stadium
2025,1,4,399.4,Angel Stadium
2025,1,5,396.3,Angel Stadium
2025,1,6,393.3,Angel Stadium
2025,1,7,390.5,Angel Stadium
2025,1,8,387.9,Angel Stadium
2025,1,9,385.4,Angel Stadium
2025,1,10,383.1,Angel Stadium
2025,1,11,380.9,Angel Stadium
2025,1,12,378.8,Angel Stadium
2025,1,13,376.9,Angel Stadium
2025,1,14,375.1,Angel Stadium
2025,1,15,373.5,Angel Stadium
2025,1,16,371.9,Angel Stadium
2025,1,17,370.5,Angel Stadium
2025,1,18,369.3,Angel Stadium
2025,1,19,368.1,Angel Stadium
2025,1,20,367.1,Angel Stadium
2025,1,21,366.1,Angel Stadium
2025,1,22,365.3,Angel Stadium
2025,1,23,364.6,Angel Stadium
2025,1,24,364.1,Angel Stadium
2025,1,25,363.6,Angel Stadium
2025,1,26,363.2,Angel Stadium
2025,1,27,363,Angel Stadium
2025,1,28,362.9,Angel Stadium
2025,1,29,362.8,Angel Stadium
2025,1,30,362.9,Angel Stadium
2025,1,31,363.1,Angel Stadium
2025,1,32,363.4,Angel Stadium
2025,1,33,363.9,Angel Stadium
2025,1,34,364.4,Angel Stadium
2025,1,35,364.8,Angel Stadium
2025,1,36,363.9,Angel Stadium
2025,1,37,362.9,Angel Stadium
2025,1,38,362.1,Angel Stadium
2025,1,39,360.4,Angel Stadium
2025,1,40,358.1,Angel Stadium
2025,1,41,355.2,Angel Stadium
2025,1,42,351,Angel Stadium
2025,1,43,345.5,Angel Stadium
2025,1,44,339,Angel Stadium
2025,1,45,330,Angel Stadium
2025,2,-45,332.9,Oriole Park at Camden Yards
2025,2,-44,339.9,Oriole Park at Camden Yards
2025,2,-43,352.3,Oriole Park at Camden Yards
2025,2,-42,365.6,Oriole Park at Camden Yards
2025,2,-41,373.5,Oriole Park at Camden Yards
2025,2,-40,377,Oriole Park at Camden Yards
2025,2,-39,380.5,Oriole Park at Camden Yards
2025,2,-38,383.1,Oriole Park at Camden Yards
2025,2,-37,382.9,Oriole Park at Camden Yards
2025,2,-36,382.7,Oriole Park at Camden Yards
2025,2,-35,382.5,Oriole Park at Camden Yards
2025,2,-34,382.5,Oriole Park at Camden Yards
2025,2,-33,382.6,Oriole Park at Camden Yards
2025,2,-32,382.7,Oriole Park at Camden Yards
2025,2,-31,383.1,Oriole Park at Camden Yards
2025,2,-30,383.5,Oriole Park at Camden Yards
2025,2,-29,384.1,Oriole Park at Camden Yards
2025,2,-28,384.7,Oriole Park at Camden Yards
2025,2,-27,385.5,Oriole Park at Camden Yards
2025,2,-26,386.4,Oriole Park at Camden Yards
2025,2,-25,387.5,Oriole Park at Camden Yards
2025,2,-24,388.6,Oriole Park at Camden Yards
2025,2,-23,389.9,Oriole Park at Camden Yards
2025,2,-22,391.3,Oriole Park at Camden Yards
2025,2,-21,392.9,Oriole Park at Camden Yards
2025,2,-20,394.6,Oriole Park at Camden Yards
2025,2,-19,396.4,Oriole Park at Camden Yards
2025,2,-18,398.3,Oriole Park at Camden Yards
2025,2,-17,397.5,Oriole Park at Camden Yards
2025,2,-16,379,Oriole Park at Camden Yards
2025,2,-15,376.6,Oriole Park at Camden Yards
2025,2,-14,379.1,Oriole Park at Camden Yards
2025,2,-13,381.6,Oriole Park at Camden Yards
2025,2,-12,384.3,Oriole Park at Camden Yards
2025,2,-11,387.1,Oriole Park at Camden Yards
2025,2,-10,390.1,Oriole Park at Camden Yards
2025,2,-9,393.2,Oriole Park at Camden Yards
2025,2,-8,396.7,Oriole Park at Camden Yards
2025,2,-7,400.2,Oriole Park at Camden Yards
2025,2,-6,403.8,Oriole Park at Camden Yards
2025,2,-5,407.7,Oriole Park at Camden Yards
2025,2,-4,407.5,Oriole Park at Camden Yards
2025,2,-3,405.5,Oriole Park at Camden Yards
2025,2,-2,403.1,Oriole Park at Camden Yards
2025,2,-1,401.1,Oriole Park at Camden Yards
2025,2,0,399.1,Oriole Park at Camden Yards
2025,2,1,397.3,Oriole Park at Camden Yards
2025,2,2,395.5,Oriole Park at Camden Yards
2025,2,3,394,Oriole Park at Camden Yards
2025,2,4,392.6,Oriole Park at Camden Yards
2025,2,5,391.3,Oriole Park at Camden Yards
2025,2,6,390.2,Oriole Park at Camden Yards
2025,2,7,389.1,Oriole Park at Camden Yards
2025,2,8,388.2,Oriole Park at Camden Yards
2025,2,9,387.4,Oriole Park at Camden Yards
2025,2,10,386.7,Oriole Park at Camden Yards
2025,2,11,386.1,Oriole Park at Camden Yards
2025,2,12,385.6,Oriole Park at Camden Yards
2025,2,13,385.4,Oriole Park at Camden Yards
2025,2,14,385.1,Oriole Park at Camden Yards
2025,2,15,385,Oriole Park at Camden Yards
2025,2,16,385.1,Oriole Park at Camden Yards
2025,2,17,385.2,Oriole Park at Camden Yards
2025,2,18,385.5,Oriole Park at Camden Yards
2025,2,19,385.9,Oriole Park at Camden Yards
2025,2,20,384.4,Oriole Park at Camden Yards
2025,2,21,379.9,Oriole Park at Camden Yards
2025,2,22,375.3,Oriole Park at Camden Yards
2025,2,23,371,Oriole Park at Camden Yards
2025,2,24,366.9,Oriole Park at Camden Yards
2025,2,25,363,Oriole Park at Camden Yards
2025,2,26,359.3,Oriole Park at Camden Yards
2025,2,27,355.7,Oriole Park at Camden Yards
2025,2,28,352.3,Oriole Park at Camden Yards
2025,2,29,349.2,Oriole Park at Camden Yards
2025,2,30,346.2,Oriole Park at Camden Yards
2025,2,31,343.4,Oriole Park at Camden Yards
2025,2,32,340.6,Oriole Park at Camden Yards
2025,2,33,338.2,Oriole Park at Camden Yards
2025,2,34,335.7,Oriole Park at Camden Yards
2025,2,35,333.5,Oriole Park at Camden Yards
2025,2,36,331.3,Oriole Park at Camden Yards
2025,2,37,329.3,Oriole Park at Camden Yards
2025,2,38,327.4,Oriole Park at Camden Yards
2025,2,39,325.6,Oriole Park at Camden Yards
2025,2,40,324,Oriole Park at Camden Yards
2025,2,41,322.4,Oriole Park at Camden Yards
2025,2,42,321,Oriole Park at Camden Yards
2025,2,43,319.7,Oriole Park at Camden Yards
2025,2,44,318.5,Oriole Park at Camden Yards
2025,2,45,317.6,Oriole Park at Camden Yards
2025,3,-45,308.8,Fenway Park
2025,3,-44,308.8,Fenway Park
2025,3,-43,308.8,Fenway Park
2025,3,-42,309,Fenway Park
2025,3,-41,309.3,Fenway Park
2025,3,-40,309.6,Fenway Park
2025,3,-39,310.1,Fenway Park
2025,3,-38,310.7,Fenway Park
2025,3,-37,311.3,Fenway Park
2025,3,-36,312.1,Fenway Park
2025,3,-35,312.9,Fenway Park
2025,3,-34,313.8,Fenway Park
2025,3,-33,314.9,Fenway Park
2025,3,-32,316,Fenway Park
2025,3,-31,317.3,Fenway Park
2025,3,-30,318.7,Fenway Park
2025,3,-29,320.1,Fenway Park
2025,3,-28,321.7,Fenway Park
2025,3,-27,323.4,Fenway Park
2025,3,-26,325.3,Fenway Park
2025,3,-25,327.2,Fenway Park
2025,3,-24,329.3,Fenway Park
2025,3,-23,331.5,Fenway Park
2025,3,-22,333.8,Fenway Park
2025,3,-21,336.2,Fenway Park
2025,3,-20,338.8,Fenway Park
2025,3,-19,341.6,Fenway Park
2025,3,-18,344.5,Fenway Park
2025,3,-17,347.5,Fenway Park
2025,3,-16,350.8,Fenway Park
2025,3,-15,354.1,Fenway Park
2025,3,-14,357.7,Fenway Park
2025,3,-13,361.4,Fenway Park
2025,3,-12,365.4,Fenway Park
2025,3,-11,369.5,Fenway Park
2025,3,-10,373.9,Fenway Park
2025,3,-9,378.4,Fenway Park
2025,3,-8,381.9,Fenway Park
2025,3,-7,381.2,Fenway Park
2025,3,-6,380.9,Fenway Park
2025,3,-5,382,Fenway Park
2025,3,-4,383.2,Fenway Park
2025,3,-3,384.5,Fenway Park
2025,3,-2,386,Fenway Park
2025,3,-1,387.5,Fenway Park
2025,3,0,389.3,Fenway Park
2025,3,1,391.1,Fenway Park
2025,3,2,393.1,Fenway Park
2025,3,3,395.2,Fenway Park
2025,3,4,397.5,Fenway Park
2025,3,5,399.9,Fenway Park
2025,3,6,402.5,Fenway Park
2025,3,7,405.3,Fenway Park
2025,3,8,408.1,Fenway Park
2025,3,9,411.2,Fenway Park
2025,3,10,414.5,Fenway Park
2025,3,11,417.3,Fenway Park
2025,3,12,409.2,Fenway Park
2025,3,13,396.1,Fenway Park
2025,3,14,385.1,Fenway Park
2025,3,15,381.4,Fenway Park
2025,3,16,380.2,Fenway Park
2025,3,17,379.2,Fenway Park
2025,3,18,378.3,Fenway Park
2025,3,19,377.5,Fenway Park
2025,3,20,376.8,Fenway Park
2025,3,21,376.2,Fenway Park
2025,3,22,375.8,Fenway Park
2025,3,23,375.4,Fenway Park
2025,3,24,375.2,Fenway Park
2025,3,25,375.1,Fenway Park
2025,3,26,375.1,Fenway Park
2025,3,27,375.2,Fenway Park
2025,3,28,375.5,Fenway Park
2025,3,29,375.8,Fenway Park
2025,3,30,376.3,Fenway Park
2025,3,31,376.9,Fenway Park
2025,3,32,377.6,Fenway Park
2025,3,33,378.4,Fenway Park
2025,3,34,379.3,Fenway Park
2025,3,35,380.3,Fenway Park
2025,3,36,381.1,Fenway Park
2025,3,37,380.8,Fenway Park
2025,3,38,379.5,Fenway Park
2025,3,39,376.8,Fenway Park
2025,3,40,372.5,Fenway Park
2025,3,41,365.9,Fenway Park
2025,3,42,353.5,Fenway Park
2025,3,43,333.4,Fenway Park
2025,3,44,315.3,Fenway Park
2025,3,45,299.3,Fenway Park
2025,4,-45,328.2,Rate Field
2025,4,-44,329.2,Rate Field
2025,4,-43,330.4,Rate Field
2025,4,-42,331.7,Rate Field
2025,4,-41,333.1,Rate Field
2025,4,-40,334.6,Rate Field
2025,4,-39,336.2,Rate Field
2025,4,-38,337.9,Rate Field
2025,4,-37,339.8,Rate Field
2025,4,-36,341.8,Rate Field
2025,4,-35,343.9,Rate Field
2025,4,-34,346.1,Rate Field
2025,4,-33,348.1,Rate Field
2025,4,-32,349.3,Rate Field
2025,4,-31,350.6,Rate Field
2025,4,-30,352,Rate Field
2025,4,-29,353.6,Rate Field
2025,4,-28,355.3,Rate Field
2025,4,-27,357.1,Rate Field
2025,4,-26,359,Rate Field
2025,4,-25,361.1,Rate Field
2025,4,-24,363.3,Rate Field
2025,4,-23,365.6,Rate Field
2025,4,-22,368.1,Rate Field
2025,4,-21,370.8,Rate Field
2025,4,-20,373.5,Rate Field
2025,4,-19,376.5,Rate Field
2025,4,-18,378.7,Rate Field
2025,4,-17,380.8,Rate Field
2025,4,-16,382.8,Rate Field
2025,4,-15,384.3,Rate Field
2025,4,-14,386,Rate Field
2025,4,-13,387.8,Rate Field
2025,4,-12,389,Rate Field
2025,4,-11,390.2,Rate Field
2025,4,-10,391.4,Rate Field
2025,4,-9,392.8,Rate Field
2025,4,-8,394.9,Rate Field
2025,4,-7,397.8,Rate Field
2025,4,-6,400.9,Rate Field
2025,4,-5,401.3,Rate Field
2025,4,-4,400.8,Rate Field
2025,4,-3,400.4,Rate Field
2025,4,-2,400,Rate Field
2025,4,-1,399.9,Rate Field
2025,4,0,399.8,Rate Field
2025,4,1,399.8,Rate Field
2025,4,2,400,Rate Field
2025,4,3,400.3,Rate Field
2025,4,4,400.7,Rate Field
2025,4,5,401.1,Rate Field
2025,4,6,400.7,Rate Field
2025,4,7,397.8,Rate Field
2025,4,8,394.9,Rate Field
2025,4,9,393,Rate Field
2025,4,10,391.7,Rate Field
2025,4,11,390.6,Rate Field
2025,4,12,389.6,Rate Field
