Angle (deg),Distance (ft)
-45,370.8
-44,374.2
-43,376.0
-42,378.5
-41,381.0
-40,384.0
-39,386.2
-38,389.9
-37,395.1
-36,396.0
-35,398.5
-34,398.8
-33,400.9
-32,399.4
-31,400.3
-30,401.3
-29,401.9
-28,402.8
-27,404.0
-26,404.9
-25,405.9
-24,409.9
-23,405.6
-22,405.9
-21,406.2
-20,406.5
-19,407.1
-18,407.4
-17,408.3
-16,409.6
-15,409.9
-14,411.1
-13,412.0
-12,413.2
-11,414.5
-10,416.0
-9,417.6
-8,419.4
-7,420.9
-6,423.1
-5,434.2
-4,432.6
-3,428.6
-2,426.5
-1,422.5
0,422.2
1,422.5
2,422.5
3,422.5
4,422.8
5,423.4
6,424.0
7,424.9
8,425.6
9,424.6
10,428.9
11,420.6
12,419.4
13,415.9
14,414.8
15,412.9
16,411.4
17,409.9
18,406.5
19,404.9
20,404.0
21,403.1
22,401.9
23,401.3
24,399.1
25,400.0
26,399.1
27,399.1
28,397.0
29,393.6
30,390.2
31,386.8
32,384.0
33,380.3
34,377.9
35,375.1
36,372.0
37,370.2
38,367.7
39,365.6
40,363.7
41,362.2
42,360.4
43,358.5
44,357.3
45,356.0
