Angle (deg),Distance (ft)
-45,297.5741417795354
-44,329.51650744984795
-43,345.0981492402443
-42,351.33080595640286
-41,361.4588731201605
-40,377.81959700007667
-39,388.7267462533541
-38,392.6221567009532
-37,394.18032087999285
-36,394.18032087999285
-35,394.18032087999285
-34,393.40123879047303
-33,394.18032087999285
-32,394.18032087999285
-31,394.18032087999285
-30,394.18032087999285
-29,394.95940296951267
-28,394.95940296951267
-27,396.5175671485523
-26,396.5175671485523
-25,398.07573132759194
-24,398.85481341711176
-23,400.4129775961514
-22,401.1920596856712
-21,403.52930595423067
-20,404.3083880437505
-19,401.1920596856712
-18,394.95940296951267
-17,390.28491043239376
-16,386.38949998479467
-15,385.61041789527485
-14,387.1685820743145
-13,390.28491043239376
-12,391.8430746114334
-11,394.18032087999285
-10,397.2966492380721
-9,399.6338955066316
-8,403.52930595423067
-7,405.8665522227901
-6,409.7619626703892
-5,412.8782910284685
-4,415.21553729702794
-3,417.5527835655874
-2,415.99461938654775
-1,413.6573731179883
0,412.09920893894866
1,410.541044759909
2,407.42471640182976
3,406.64563431230994
4,405.0874701332703
5,404.3083880437505
6,402.75022386471085
7,401.97114177519103
8,400.4129775961514
9,399.6338955066316
10,398.85481341711176
11,397.2966492380721
12,397.2966492380721
13,396.5175671485523
14,396.5175671485523
15,396.5175671485523
16,394.95940296951267
17,395.7384850590325
18,395.7384850590325
19,395.7384850590325
20,396.5175671485523
21,395.7384850590325
22,391.0639925219136
23,386.38949998479467
24,382.4940895371956
25,377.81959700007667
26,373.9241865524776
27,370.8078581943983
28,366.9124477467992
29,364.57520147823976
30,360.6797910306407
31,358.3425447620812
32,355.22621640400195
33,352.1098880459227
34,349.7726417773632
35,346.65631341928395
36,344.3190671507245
37,343.5399850612047
38,341.2027387926452
39,339.6445746136056
40,337.30732834504613
41,335.7491641660065
42,334.19099998696686
43,332.6328358079272
44,331.0746716288876
45,326.4001790917687
