Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,NA
-42,339.2261094712215
-41,345.20218664439
-40,348.19022523097425
-39,348.7878329482911
-38,349.6842445242664
-37,350.58065610024164
-36,352.37347925219217
-35,353.5686946868259
-34,354.46510626280116
-33,355.6603216974348
-32,356.85553713206855
-31,358.6483602840191
-30,360.73998729462807
-29,362.831614305237
-28,364.923241315846
-27,366.7160644677965
-26,369.40529919572236
-25,371.79573006498975
-24,374.48496479291555
-23,376.87539566218294
-22,380.1622381074256
-21,382.8514728353514
-20,385.24190370461884
-19,386.7359229979109
-18,387.9311384325446
-17,389.72396158449516
-16,391.81558859510415
-15,393.9072156057131
-14,395.70003875766366
-13,396.89525419229733
-12,398.09046962693105
-11,398.9868812029063
-10,400.48090049619844
-9,401.3773120721737
-8,403.17013522412424
-7,404.66415451741636
-6,406.75578152802535
-5,408.5486046799759
-4,410.64023169058487
-3,413.03066255985226
-2,411.53664326656013
-1,413.32946641851066
0,412.13425098387694
1,409.44501625595115
2,404.96295837607477
3,405.5605660933916
4,403.17013522412424
5,399.8832927788816
6,397.1940580509558
7,395.70003875766366
8,392.7120001710794
9,390.6203731604704
10,390.0227654431536
11,394.50482332302994
12,388.8275500085199
13,387.33353071522777
14,386.4371191392525
15,367.6124760437718
16,374.18616093425715
17,375.9789840862077
18,376.2777879448661
19,390.321569301812
20,387.33353071522777
21,383.44908055266825
22,376.57659180352454
23,370.60051463035603
24,367.91127990243024
25,364.3256335985291
26,367.6124760437718
27,362.831614305237
28,357.7519487080438
29,355.06271398011796
30,351.7758715348753
31,351.1782638175585
32,346.6962059376821
33,343.40936349243947
34,342.21414805780574
35,341.3177364818305
36,342.8117557751226
37,342.21414805780574
38,340.7201287645136
39,337.43328631927096
40,321.5966818103745
41,311.7361544746465
42,297.6923731177006
43,307.851704312087
44,NA
45,NA
