Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,NA
-42,298.09380513764864
-41,333.5799327710805
-40,338.11007672428457
-39,343.3952446696893
-38,347.1703646306927
-37,350.9454845916961
-36,354.72060455269946
-35,357.74070052150216
-34,360.76079649030487
-33,362.2708444747062
-32,363.0258684669069
-31,364.53591645130825
-30,365.29094044350893
-29,367.55601242011096
-28,369.0660604045123
-27,370.57610838891367
-26,372.8411803655157
-25,375.1062523421177
-24,378.12634831092043
-23,380.3914202875225
-22,382.65649226412455
-21,384.9215642407266
-20,387.9416602095293
-19,390.961756178332
-18,393.9818521471347
-17,397.0019481159374
-16,400.7770680769408
-15,401.53209206914147
-14,404.5521880379442
-13,406.8172600145462
-12,407.5722840067469
-11,409.08233199114824
-10,410.5923799755496
-9,413.6124759443523
-8,413.6124759443523
-7,415.12252392875365
-6,414.367499936553
-5,415.12252392875365
-4,415.12252392875365
-3,415.12252392875365
-2,415.12252392875365
-1,415.12252392875365
0,415.12252392875365
1,412.8574519521516
2,412.8574519521516
3,411.34740396775027
4,410.5923799755496
5,409.08233199114824
6,406.8172600145462
7,405.30721203014485
8,402.28711606134215
9,400.7770680769408
10,396.24692412373673
11,394.7368761393354
12,390.961756178332
13,388.69668420172997
14,384.1665402485259
15,380.3914202875225
16,376.6163003265191
17,372.086156373315
18,369.0660604045123
19,366.8009884279103
20,363.0258684669069
21,360.76079649030487
22,357.74070052150216
23,356.2306525371008
24,353.2105565682981
25,350.9454845916961
26,349.4354366072947
27,347.1703646306927
28,344.90529265409066
29,344.15026866189
30,341.1301726930873
31,340.3751487008866
32,339.6201247086859
33,338.11007672428457
34,337.3550527320839
35,335.84500474768254
36,335.84500474768254
37,334.3349567632812
38,333.5799327710805
39,333.5799327710805
40,332.06988478667915
41,330.5598368022778
42,297.33878114544797
43,NA
44,NA
45,NA
