Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,296.0245748869964
-42,345.9197436643094
-41,350.7289165585083
-40,351.63063647617054
-39,352.5323563938328
-38,353.1335030056077
-37,354.6363695350448
-36,356.4398093703694
-35,357.34152928803167
-34,358.2432492056939
-33,359.74611573513107
-32,361.2489822645682
-31,362.75184879400535
-30,365.15643524110476
-29,367.2604483823168
-28,369.06388821764136
-27,371.46847466474077
-26,373.57248780595273
-25,376.27764755893963
-24,378.68223400603904
-23,381.3873937590259
-22,384.39312681790017
-21,387.39885987677445
-20,389.202299712099
-19,390.7051662415361
-18,391.9074594650858
-17,393.7108993004104
-16,395.514339135735
-15,397.31777897105957
-14,399.42179211227153
-13,400.62408533582123
-12,401.826378559371
-11,402.72809847703326
-10,403.93039170058296
-9,405.4332582300201
-8,406.6355514535698
-7,408.13841798300695
-6,409.9418578183315
-5,412.0458709595435
-4,414.1498841007555
-3,416.2538972419675
-2,415.0516040184178
-1,416.85504385374236
0,415.3521773243052
1,412.6470175713184
2,408.4389912888944
3,409.34071120655665
4,405.73383153590754
5,403.6298183946955
6,403.3292450888081
7,399.42179211227153
8,395.8149124416224
9,393.7108993004104
10,396.11548574750987
11,397.31777897105957
12,393.1097526886356
13,391.60688615919844
14,390.40459293564874
15,369.9656081353036
16,372.67076788829047
17,380.4856738413636
18,378.3816607001516
19,393.1097526886356
20,390.7051662415361
21,386.7977132649996
22,383.7919802061253
23,373.1967711735935
24,369.6650348294162
25,367.8615949940916
26,368.7633149117539
27,365.4570085469922
28,358.8443958174688
29,356.7403826762568
30,355.8386627585945
31,354.03522292326994
32,351.931209782058
33,353.7346496173825
34,346.52089027608423
35,344.41687713487227
36,343.21458391132256
37,344.1163038289848
38,341.11057077011054
39,342.01229068777286
40,338.70598432301114
41,321.57330588742775
42,307.44636051071865
43,300.2326011694204
44,296.0245748869964
45,NA
