Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,NA
-42,339.3933324196998
-41,345.36694090787427
-40,348.6524255763702
-39,349.5484668495964
-38,350.1458276984138
-37,350.7431885472313
-36,352.83395151809236
-35,354.0286732157273
-34,354.92471448895344
-33,356.41811661099706
-32,357.3141578842232
-31,359.10624043067554
-30,360.8983229771279
-29,363.2877663723977
-28,365.3785293432588
-27,367.1706118897111
-26,369.85873570938963
-25,371.9494986802507
-24,374.6376224999292
-23,377.02706589519903
-22,380.01387013928627
-21,383.0006743833735
-20,385.3901177786433
-19,386.8835199006869
-18,388.3769220227305
-17,390.16900456918285
-16,391.66240669122647
-15,393.45448923767884
-14,395.8439326329486
-13,397.33733475499224
-12,398.2333760282184
-11,399.12941730144456
-10,400.3241389990795
-9,401.5188606967144
-8,403.012262818758
-7,404.50566494080164
-6,406.29774748725396
-5,408.0898300337063
-4,410.18059300456736
-3,412.57003639983714
-2,411.673995126611
-1,413.1673972486546
0,412.8687168242459
1,409.88191258015866
2,406.8951083360714
3,405.99906706284526
4,401.8175411211231
5,401.22018027230564
6,400.6228194234882
7,399.726778150262
8,392.5584479644527
9,391.06504584240906
10,393.1558088132701
11,394.0518500864963
12,390.16900456918285
13,389.2729632959567
14,387.1822003250956
15,367.1706118897111
16,369.56005528498093
17,377.62442674401643
18,375.5336637731554
19,389.87032414477414
20,387.48088074950437
21,383.5980352321909
22,373.06955027178344
23,369.56005528498093
24,366.5732510408937
25,363.88512722121516
26,366.27457061648494
27,362.989085947989
28,355.8207557621796
29,353.7299927913185
30,351.63922982045744
31,350.7431885472313
32,348.0550647275528
33,350.7431885472313
34,342.380136663787
35,341.1854149661521
36,341.78277581496957
37,342.380136663787
38,339.09465199529103
39,338.49729114647363
40,332.52368265829915
41,312.2134137985059
42,298.17543385129585
43,298.4741142757046
44,NA
45,NA
