Angle (deg),Distance (ft)
-45,NA
-44,NA
-43,NA
-42,306.45761044592393
-41,297.22448018891293
-40,343.390131473968
-39,348.7761241238911
-38,352.62326173097904
-37,356.47039933806695
-36,360.31753694515487
-35,362.6258195094076
-34,365.70352959507795
-33,368.0118121593307
-32,368.7812396807483
-31,370.32009472358345
-30,371.8589497664186
-29,374.1672323306714
-28,374.936659852089
-27,375.7060873735066
-26,378.01436993775934
-25,381.0920800234297
-24,383.4003625876824
-23,386.47807267335276
-22,388.7863552376055
-21,391.09463780185825
-20,393.402920366111
-19,398.0194854946165
-18,401.0971955802869
-17,404.1749056659572
-16,407.25261575162756
-15,408.7914707944627
-14,411.0997533587155
-13,413.4080359229682
-12,414.9468909658034
-11,415.716318487221
-10,417.25517353005614
-9,420.3328836157265
-8,420.3328836157265
-7,421.87173865856164
-6,421.10231113714406
-5,422.6411661799792
-4,421.10231113714406
-3,422.6411661799792
-2,421.87173865856164
-1,421.87173865856164
0,421.10231113714406
1,420.3328836157265
2,419.5634560943089
3,418.7940285728913
4,417.25517353005614
5,415.716318487221
6,414.9468909658034
7,411.86918088013306
8,408.7914707944627
9,407.25261575162756
10,402.63605062312206
11,401.0971955802869
12,398.0194854946165
13,394.94177540894617
14,390.3252102804407
15,386.47807267335276
16,382.63093506626484
17,378.7837974591769
18,374.936659852089
19,372.6283772878362
20,368.7812396807483
21,366.47295711649554
22,364.1646745522428
23,361.85639198799004
24,358.7786819023197
25,356.47039933806695
26,354.9315442952318
27,352.62326173097904
28,350.3149791667263
29,349.5455516453087
30,346.4678415596384
31,345.6984140382208
32,344.9289865168032
33,343.390131473968
34,342.6207039525504
35,341.08184890971523
36,341.08184890971523
37,339.54299386688007
38,338.7735663454625
39,338.7735663454625
40,337.2347113026273
41,335.69585625979215
42,297.9939077103305
43,NA
44,NA
45,NA
