Angle (deg),Distance (ft)
-45,323.5066898934503
-44,327.2337254913011
-43,331.70616820872203
-42,335.43320380657286
-41,340.651053643564
-40,342.88727500227446
-39,347.3597177196955
-38,348.8505319588358
-37,352.5775675566866
-36,354.0683817958269
-35,357.7954173936777
-34,360.77704587195836
-33,361.52245299152855
-32,363.758674350239
-31,365.2494885893793
-30,366.74030282851965
-29,364.5040814698092
-28,366.74030282851965
-27,367.48570994808983
-26,370.4673384263705
-25,372.703559785081
-24,374.57872457024973
-23,376.466719238702
-22,378.1623566499801
-21,380.66527579524575
-20,386.28353628038974
-19,390.19371618731213
-18,399.0885104821
-17,400.81259926852545
-16,402.9319444993833
-15,405.2587745095791
-14,406.3833825032892
-13,414.7141854934958
-12,412.1095697697511
-11,422.7658770759719
-10,416.9214381817525
-9,420.9616875349745
-8,419.7333622988206
-7,418.16757058573916
-6,416.4612871010981
-5,415.1917656005802
-4,412.8332508863152
-3,415.22088306618843
-2,414.67929820587574
-1,412.30331301224584
0,409.2285086440189
1,408.4831015244487
2,407.7376944048786
3,406.2468801657383
4,406.9922872853084
5,404.5595230337425
6,404.5529716039806
7,399.29899257965224
8,397.58669530937055
9,395.78410732672694
10,389.5815041453062
11,386.85037837394685
12,380.311612816933
13,377.0260386686743
14,374.56301137543016
15,372.1844073159971
16,369.9545411853759
17,367.9974494061541
18,365.482428314245
19,362.2678601110987
20,359.28623163281804
21,356.3046031545374
22,356.3046031545374
23,352.5775675566866
24,349.59593907840593
25,348.1051248392656
26,345.123496360985
27,343.63268212184465
28,343.63268212184465
29,341.39646076313414
30,339.9056465239938
31,338.4148322848535
32,337.66942516528337
33,335.43320380657286
34,334.68779668700273
35,335.43320380657286
36,333.94238956743254
37,333.19698244786235
38,330.2153539695817
39,332.4515753282922
40,330.9607610891519
41,328.7245397304414
42,243.74812809944294
43,227.34917146889939
44,NA
45,NA
