Angle_logical_deg,Distance_ft,Theta_image_deg,Hit_x,Hit_y
-45,NA,48.158317795458586,,
-44,NA,47.15161891883264,,
-43,NA,46.1449200422067,,
-42,275.6,45.13822116558075,1574,397
-41,320.4,44.131522288954805,1695,303
-40,323.9,43.12482341232886,1717,308
-39,324.5,42.11812453570291,1731,321
-38,325.4,41.111425659076964,1747,334
-37,326.3,40.10472678245102,1762,347
-36,328.1,39.09802790582507,1779,358
-35,329.5,38.09132902919913,1795,370
-34,330.1,37.08463015257318,1808,384
-33,331.6,36.077931275947236,1824,397
-32,332.8,35.07123239932129,1839,411
-31,334.6,34.06453352269534,1855,424
-30,336.3,33.057834646069395,1871,437
-29,338.7,32.05113576944345,1889,450
-28,340.8,31.044436892817497,1905,463
-27,342.5,30.037738016191557,1921,478
-26,345.2,29.031039139565614,1939,491
-25,347.8,28.024340262939667,1956,505
-24,350.2,27.017641386313716,1973,520
-23,352.6,26.010942509687773,1990,535
-22,355.8,25.004243633061826,2009,549
-21,298.6,23.99754475643588,1840,647
-20,361.1,22.99084587980993,2042,581
-19,320.7,21.98414700318399,1924,652
-18,363.8,20.97744812655804,2067,618
-17,365.5,19.970749249932094,2080,636
-16,367.6,18.964050373306144,2094,654
-15,369.4,17.9573514966802,2107,673
-14,371.7,16.950652620054253,2121,692
-13,372.9,15.943953743428304,2131,712
-12,373.8,14.937254866802363,2140,732
-11,375.0,13.930555990176414,2149,753
-10,376.2,12.923857113550472,2158,774
-9,286.2,11.917158236924523,1865,859
-8,281.5,10.910459360298582,1852,878
-7,380.3,9.903760483672633,2185,837
-6,382.6,8.897061607046686,2197,858
-5,384.4,7.890362730420743,2206,880
-4,386.8,6.883663853794794,2217,902
-3,386.8,5.876964977168846,2220,925
-2,389.7,4.8702661005428975,2232,947
-1,388.8,3.863567223916956,2231,970
0,385.9,2.8568683472910075,2222,994
1,382.9,1.8501694706650653,2213,1017
2,358.5,0.8434705940391105,2130,1041
3,287.1,-0.16322828258683153,1889,1062
4,276.7,-1.1699271592127736,1853,1078
5,342.5,-2.176626035838728,2076,1103
6,276.1,-3.1833249124646703,1850,1111
7,338.4,-4.1900237890906125,2059,1143
8,315.4,-5.1967226657165675,1980,1156
9,318.3,-6.203421542342509,1988,1176
10,286.8,-7.210120418968457,1880,1181
11,296.5,-8.2168192955944,1910,1203
12,275.3,-9.223518172220349,1836,1209
13,275.0,-10.230217048846303,1833,1225
14,276.4,-11.236915925472244,1835,1242
15,308.3,-12.243614802098186,1937,1281
16,304.8,-13.250313678724142,1921,1296
17,276.1,-14.257012555350084,1823,1290
18,293.8,-15.263711431976025,1876,1321
19,275.6,-16.27041030860198,1812,1321
20,277.6,-17.27710918522792,1814,1339
21,275.0,-18.283808061853865,1801,1351
22,275.6,-19.290506938479805,1797,1368
23,280.3,-20.297205815105762,1807,1389
24,275.0,-21.303904691731702,1784,1398
25,283.5,-22.310603568357646,1805,1424
26,277.0,-23.317302444983586,1778,1431
27,275.0,-24.324001321609543,1765,1443
28,330.1,-25.330700198235483,1927,1538
29,326.9,-26.337399074861427,1909,1551
30,326.0,-27.34409795148738,1897,1567
31,281.5,-28.350796828113324,1755,1512
32,276.7,-29.357495704739264,1733,1519
33,276.4,-30.36419458136522,1724,1533
34,275.3,-31.370893457991162,1712,1545
35,279.1,-32.377592334617106,1714,1566
36,275.0,-33.38429121124306,1694,1572
37,316.3,-34.390990087869,1800,1665
38,312.1,-35.397688964494954,1778,1672
39,296.2,-36.404387841120894,1724,1655
40,282.0,-37.41108671774684,1675,1640
41,296.5,-38.417785594372795,1703,1684
42,275.3,-39.424484470998735,1636,1652
43,NA,-40.431183347624675,,
44,NA,-41.437882224250636,,
45,NA,-42.444581100876576,,
